Node_ID,X,Y,Z,Head,Velocity_X,Velocity_Y,Darcy_Flux_X,Darcy_Flux_Y,Hydraulic_Gradient
142,80.0,30.0,0.0,6.000000000000008,1.428571428571444e-05,-3.858838172637437e-20,5.000000000000054e-06,-1.3505933604231028e-20,0.05000000000000052
143,85.0,30.0,0.0,5.750000000000007,1.4285714285714457e-05,-3.73615810147275e-20,5.00000000000006e-06,-1.3076553355154625e-20,0.05000000000000059
144,90.0,30.0,0.0,5.500000000000003,1.4285714285714467e-05,-3.207480470698868e-20,5.000000000000063e-06,-1.1226181647446038e-20,0.05000000000000063
145,95.0,30.0,0.0,5.25,1.4285714285714363e-05,-1.67584093749039e-21,5.000000000000027e-06,-5.865443281216364e-22,0.05000000000000028
146,100.0,30.0,0.0,5.0,1.428571428571432e-05,1.0573552615477664e-20,5.000000000000011e-06,3.700743415417182e-21,0.05000000000000011
147,0.0,35.0,0.0,10.0,1.4285714285714179e-05,-3.700743415417188e-20,4.999999999999962e-06,-1.2952601953960156e-20,0.04999999999999962
148,5.0,35.0,0.0,9.750000000000002,1.4285714285714082e-05,-5.744624566401595e-20,4.999999999999928e-06,-2.010618598240558e-20,0.049999999999999274
149,10.0,35.0,0.0,9.500000000000007,1.428571428571405e-05,-4.8289280490760896e-20,4.999999999999917e-06,-1.6901248171766312e-20,0.04999999999999916
150,15.0,35.0,0.0,9.25000000000001,1.4285714285713952e-05,-4.687269304853828e-20,4.999999999999883e-06,-1.6405442566988397e-20,0.049999999999998816
151,20.0,35.0,0.0,9.00000000000002,1.4285714285713986e-05,-4.4904022584354985e-22,4.9999999999998945e-06,-1.5716407904524245e-22,0.049999999999998934
152,25.0,35.0,0.0,8.750000000000021,1.428571428571424e-05,3.559084671194931e-20,4.9999999999999835e-06,1.2456796349182258e-20,0.049999999999999836
153,30.0,35.0,0.0,8.500000000000021,1.4285714285714338e-05,1.9022224067621467e-20,5.000000000000018e-06,6.6577784236675124e-21,0.05000000000000018
154,35.0,35.0,0.0,8.25000000000002,1.4285714285714331e-05,-6.282791533704265e-20,5.000000000000016e-06,-2.1989770367964927e-20,0.050000000000000155
155,40.0,35.0,0.0,8.00000000000002,1.4285714285714363e-05,-1.3146111397235966e-19,5.000000000000027e-06,-4.601138989032588e-20,0.050000000000000266
156,45.0,35.0,0.0,7.750000000000019,1.4285714285714389e-05,-9.216443852487403e-20,5.000000000000036e-06,-3.225755348370591e-20,0.05000000000000035
157,50.0,35.0,0.0,7.500000000000018,1.4285714285714457e-05,-1.8693503807661758e-20,5.00000000000006e-06,-6.542726332681614e-21,0.0500000000000006
158,55.0,35.0,0.0,7.250000000000012,1.4285714285714431e-05,-2.3436346524269122e-20,5.00000000000005e-06,-8.202721283494192e-21,0.0500000000000005
159,60.0,35.0,0.0,7.0000000000000115,1.4285714285714263e-05,-4.1680810106087306e-20,4.999999999999992e-06,-1.4588283537130556e-20,0.04999999999999992
160,65.0,35.0,0.0,6.750000000000014,1.42857142857143e-05,-9.848822881368392e-20,5.000000000000005e-06,-3.447088008478937e-20,0.050000000000000044
161,70.0,35.0,0.0,6.500000000000012,1.4285714285714385e-05,-3.929667544748566e-20,5.000000000000034e-06,-1.375383640661998e-20,0.050000000000000364
162,75.0,35.0,0.0,6.250000000000011,1.428571428571438e-05,1.1186952971301092e-20,5.000000000000033e-06,3.915433539955382e-21,0.05000000000000032
163,80.0,35.0,0.0,6.000000000000011,1.4285714285714406e-05,-2.237390594260218e-20,5.000000000000042e-06,-7.830867079910763e-21,0.05000000000000041
164,85.0,35.0,0.0,5.750000000000006,1.4285714285714479e-05,-4.264835732246638e-20,5.000000000000067e-06,-1.4926925062863233e-20,0.05000000000000066
165,90.0,35.0,0.0,5.500000000000003,1.428571428571444e-05,-6.863319863531701e-20,5.000000000000054e-06,-2.4021619522360952e-20,0.05000000000000054
166,95.0,35.0,0.0,5.250000000000002,1.4285714285714382e-05,-5.0129481558231086e-20,5.0000000000000334e-06,-1.7545318545380878e-20,0.05000000000000033
167,100.0,35.0,0.0,5.0,1.428571428571438e-05,-1.0055045624942167e-20,5.000000000000033e-06,-3.519265968729758e-21,0.05000000000000031
168,0.0,40.0,0.0,10.0,1.4285714285714038e-05,-5.1830749096317405e-20,4.999999999999913e-06,-1.814076218371109e-20,0.04999999999999912
169,5.0,40.0,0.0,9.750000000000004,1.4285714285714026e-05,-1.1805438647243684e-19,4.999999999999909e-06,-4.131903526535289e-20,0.04999999999999908
170,10.0,40.0,0.0,9.500000000000009,1.4285714285713992e-05,-7.085297316393886e-20,4.999999999999897e-06,-2.47985406073786e-20,0.04999999999999896
171,15.0,40.0,0.0,9.250000000000014,1.4285714285713952e-05,-6.995489271225174e-20,4.999999999999883e-06,-2.4484212449288107e-20,0.04999999999999882
172,20.0,40.0,0.0,9.00000000000002,1.428571428571398e-05,-4.4324198259956745e-20,4.999999999999893e-06,-1.551346939098486e-20,0.04999999999999893
173,25.0,40.0,0.0,8.750000000000025,1.4285714285714184e-05,-3.52366998513936e-20,4.999999999999964e-06,-1.233284494798776e-20,0.049999999999999614
174,30.0,40.0,0.0,8.500000000000021,1.4285714285714252e-05,-4.5481532206911594e-20,4.999999999999988e-06,-1.5918536272419056e-20,0.049999999999999885
175,35.0,40.0,0.0,8.250000000000025,1.4285714285714194e-05,-1.7356553770369464e-19,4.999999999999967e-06,-6.074793819629312e-20,0.04999999999999966
